date,total_trades,total_volume,mean_closedPnL,median_closedPnL,win_rate,avg_leverage,long_trades,short_trades,long_short_ratio,Classification,sentiment_score
2023-01-05,3,3,0.0,0.0,0.0,1.0,3,0,,,
2023-05-12,9,9,0.0,0.0,0.0,1.0,7,2,3.5,,
2024-01-01,18,18,-7.196192222222223,0.0,0.05555555555555555,1.0,10,8,1.25,,
2024-01-02,6,6,0.0,0.0,0.0,1.0,6,0,,,
2024-01-03,137,137,60.176944591240876,27.04384,0.9343065693430657,1.0,37,100,0.37,,
2024-01-04,77,77,32.57095332467532,0.54675,0.5454545454545454,1.0,32,45,0.7111111111111111,,
2024-01-05,14,14,0.0,0.0,0.0,1.0,14,0,,,
2024-01-06,25,25,3.66041676,0.0,0.36,1.0,9,16,0.5625,,
2024-01-07,64,64,79.1537391875,0.0,0.40625,1.0,6,58,0.10344827586206896,,
2024-01-08,57,57,2.9312283684210527,0.0,0.07017543859649122,1.0,47,10,4.7,,
2024-01-09,12,12,11.452757750000002,0.0,0.4166666666666667,1.0,7,5,1.4,,
2024-01-10,4,4,0.0,0.0,0.0,1.0,4,0,,,
2024-01-11,23,23,45.238075478260875,0.0,0.2608695652173913,1.0,13,10,1.3,,
2024-01-12,416,416,98.28453003365385,0.5600160000000001,0.53125,1.0,144,272,0.5294117647058824,,
2024-02-01,17,17,46.11641858823529,0.0,0.47058823529411764,1.0,9,8,1.125,,
2024-02-02,42,42,10.867225547619048,0.0,0.30952380952380953,1.0,19,23,0.8260869565217391,,
2024-02-03,31,31,7.448406451612905,1.3124,0.6774193548387096,1.0,28,3,9.333333333333334,,
2024-02-04,41,41,21.555141756097562,0.0,0.2926829268292683,1.0,10,31,0.3225806451612903,,
2024-02-06,93,93,2.074268247311828,0.0,0.3655913978494624,1.0,34,59,0.576271186440678,,
2024-02-07,18,18,134.514062,10.35,0.7222222222222222,1.0,13,5,2.6,,
2024-02-08,63,63,12.418542714285714,0.0,0.2698412698412698,1.0,42,21,2.0,,
2024-02-09,2,2,0.0,0.0,0.0,1.0,2,0,,,
2024-02-10,4,4,0.0,0.0,0.0,1.0,4,0,,,
2024-02-11,2,2,0.0,0.0,0.0,1.0,2,0,,,
2024-02-12,270,270,68.48001597407408,0.0,0.4074074074074074,1.0,156,114,1.368421052631579,,
2024-03-01,67,67,12.925604582089552,0.0,0.417910447761194,1.0,32,35,0.9142857142857143,,
2024-03-02,56,56,3.9876640535714283,0.0,0.10714285714285714,1.0,18,38,0.47368421052631576,,
2024-03-03,79,79,105.83653474683545,15.04116,0.6835443037974683,1.0,36,43,0.8372093023255814,,
2024-03-04,4,4,31.6971,0.0,0.25,1.0,3,1,3.0,,
2024-03-05,36,36,147.3893623611111,0.0,0.4722222222222222,1.0,3,33,0.09090909090909091,,
2024-03-06,70,70,8.040117257142859,4.63499,0.6285714285714286,1.0,44,26,1.6923076923076923,,
2024-03-07,18,18,62.132626888888886,0.0,0.2222222222222222,1.0,18,0,,,
2024-03-08,37,37,12.545667567567568,0.0,0.02702702702702703,1.0,36,1,36.0,,
2024-03-10,9,9,11.152864666666666,0.0,0.3333333333333333,1.0,6,3,2.0,,
2024-03-11,6,6,0.0,0.0,0.0,1.0,6,0,,,
2024-03-12,374,374,63.03887509358289,0.0,0.4304812834224599,1.0,170,204,0.8333333333333334,,
2024-04-01,5,5,-13.520728,-0.0786,0.0,1.0,2,3,0.6666666666666666,,
2024-04-02,35,35,1.360682714285714,-0.02695,0.2571428571428571,1.0,19,16,1.1875,,
2024-04-03,300,300,92.66591914,30.85353,0.8866666666666667,1.0,161,139,1.158273381294964,,
2024-04-04,32,32,0.0,0.0,0.0,1.0,0,32,0.0,,
2024-04-05,9,9,0.0,0.0,0.0,1.0,0,9,0.0,,
2024-04-06,53,53,0.9851214716981133,0.0,0.4716981132075472,1.0,25,28,0.8928571428571429,,
2024-04-07,25,25,0.0,0.0,0.0,1.0,25,0,,,
2024-04-08,127,127,-965.9212667952756,0.0,0.023622047244094488,1.0,60,67,0.8955223880597015,,
2024-04-09,34,34,31.346621529411763,0.0,0.14705882352941177,1.0,31,3,10.333333333333334,,
2024-04-10,1,1,0.0,0.0,0.0,1.0,0,1,0.0,,
2024-04-11,36,36,77.76140205555555,29.134382,0.6388888888888888,1.0,13,23,0.5652173913043478,,
2024-04-12,319,319,918.1561599404388,0.0,0.46394984326018807,1.0,96,223,0.4304932735426009,,
2024-05-01,66,66,2.486993409090909,0.0,0.19696969696969696,1.0,31,35,0.8857142857142857,,
2024-05-02,72,72,-0.4646415833333337,0.0,0.19444444444444445,1.0,33,39,0.8461538461538461,,
2024-05-03,180,180,109.95014467222222,34.3644515,0.9055555555555556,1.0,55,125,0.44,,
2024-05-04,100,100,107.06484306,8.978760000000001,0.9,1.0,17,83,0.20481927710843373,,
2024-05-05,6,6,0.15266666666666667,0.0,0.16666666666666666,1.0,1,5,0.2,,
2024-05-06,54,54,1.038064925925926,0.0,0.2962962962962963,1.0,17,37,0.4594594594594595,,
2024-05-07,32,32,0.0,0.0,0.0,1.0,32,0,,,
2024-05-08,80,80,-162.6708146125,0.0,0.4125,1.0,41,39,1.0512820512820513,,
2024-05-09,1,1,0.0,0.0,0.0,1.0,0,1,0.0,,
2024-05-10,37,37,155.86924032432432,39.480396,0.6486486486486487,1.0,9,28,0.32142857142857145,,
2024-05-11,10,10,67.8475928,10.511846,0.5,1.0,5,5,1.0,,
2024-05-12,456,456,156.96078615789474,0.0,0.4232456140350877,1.0,192,264,0.7272727272727273,,
2024-06-01,22,22,6.16280290909091,0.0,0.45454545454545453,1.0,11,11,1.0,,
2024-06-02,1088,1088,-0.19817638511029412,0.0,0.1645220588235294,1.0,518,570,0.9087719298245615,,
2024-06-03,82,82,83.10762364634145,27.00537,0.8780487804878049,1.0,49,33,1.4848484848484849,,
2024-06-04,16,16,14.770945874999999,0.0,0.25,1.0,0,16,0.0,,
2024-06-05,9,9,107.62115333333333,0.0,0.4444444444444444,1.0,8,1,8.0,,
2024-06-06,234,234,1.1716802863247862,0.0,0.42735042735042733,1.0,102,132,0.7727272727272727,,
2024-06-07,24,24,4.53634075,0.0,0.2916666666666667,1.0,17,7,2.4285714285714284,,
2024-06-08,107,107,2.4982995140186914,0.0,0.12149532710280374,1.0,76,31,2.4516129032258065,,
2024-06-09,42,42,-26.306113452380952,-24.855381,0.0,1.0,4,38,0.10526315789473684,,
2024-06-10,22,22,5.9312308636363635,0.0,0.22727272727272727,1.0,6,16,0.375,,
2024-06-11,15,15,187.85581533333334,0.0,0.4666666666666667,1.0,6,9,0.6666666666666666,,
2024-06-12,403,403,-229.83782604218362,0.0,0.23325062034739455,1.0,205,198,1.0353535353535352,,
2024-07-01,97,97,-8.615270463917525,0.0,0.09278350515463918,1.0,52,45,1.1555555555555554,,
2024-07-02,15,15,16.082808,0.0,0.13333333333333333,1.0,7,8,0.875,,
2024-07-04,23,23,0.0,0.0,0.0,1.0,0,23,0.0,,
2024-07-05,18,18,49.08542738888889,9.50184,0.5,1.0,6,12,0.5,,
2024-07-06,440,440,20.23288049090909,0.0,0.4,1.0,181,259,0.6988416988416989,,
2024-07-07,10,10,6.1428942,4.9143155,1.0,1.0,0,10,0.0,,
2024-07-08,33,33,5.720886515151515,0.0,0.30303030303030304,1.0,12,21,0.5714285714285714,,
2024-07-10,21,21,0.0,0.0,0.0,1.0,0,21,0.0,,
2024-07-11,113,113,39.764187044247784,3.894186,0.5309734513274337,1.0,53,60,0.8833333333333333,,
2024-07-12,304,304,282.5864442993421,0.0,0.4309210526315789,1.0,110,194,0.5670103092783505,,
2024-08-01,128,128,-2.1083940546875,0.0,0.25,1.0,40,88,0.45454545454545453,,
2024-08-02,10,10,77.07560240000001,0.0,0.4,1.0,2,8,0.25,,
2024-08-03,67,67,63.7594960597015,12.4432,0.8805970149253731,1.0,19,48,0.3958333333333333,,
2024-08-04,30,30,40.614223333333335,0.0,0.03333333333333333,1.0,1,29,0.034482758620689655,,
2024-08-05,13,13,0.12044307692307693,0.0,0.07692307692307693,1.0,12,1,12.0,,
2024-08-06,29,29,4.453063413793104,0.0,0.27586206896551724,1.0,21,8,2.625,,
2024-08-07,1,1,0.0,0.0,0.0,1.0,1,0,,,
2024-08-08,9,9,-4.5235796666666666,0.0,0.0,1.0,5,4,1.25,,
2024-08-09,1,1,0.0,0.0,0.0,1.0,0,1,0.0,,
2024-08-10,36,36,149.90407327777777,29.615628,0.9166666666666666,1.0,34,2,17.0,,
2024-08-11,39,39,-1.6516292564102582,0.0,0.15384615384615385,1.0,23,16,1.4375,,
2024-08-12,420,420,38.014127228571425,0.0,0.3619047619047619,1.0,82,338,0.24260355029585798,,
2024-09-01,70,70,-11.804998042857143,0.0,0.2571428571428571,1.0,28,42,0.6666666666666666,,
2024-09-03,117,117,85.03847541880343,25.01825,0.8290598290598291,1.0,83,34,2.4411764705882355,,
2024-09-04,3,3,0.0,0.0,0.0,1.0,0,3,0.0,,
2024-09-05,28,28,40.985566285714285,0.0,0.39285714285714285,1.0,9,19,0.47368421052631576,,
2024-09-06,17,17,0.0,0.0,0.0,1.0,17,0,,,
2024-09-07,15,15,43.265627466666665,37.164306,1.0,1.0,0,15,0.0,,
2024-09-08,144,144,125.56993941666666,0.0,0.2986111111111111,1.0,54,90,0.6,,
2024-09-09,2,2,0.0,0.0,0.0,1.0,2,0,,,
2024-09-10,14,14,28.290194285714286,0.0,0.21428571428571427,1.0,11,3,3.6666666666666665,,
2024-09-11,86,86,1.196615581395349,0.0,0.22093023255813954,1.0,53,33,1.606060606060606,,
2024-09-12,539,539,11.708659881261596,0.0,0.31910946196660483,1.0,455,84,5.416666666666667,,
2024-10-01,193,193,-7.860576901554404,0.0,0.21243523316062177,1.0,92,101,0.9108910891089109,,
2024-10-03,42,42,59.117314285714286,2.505,0.6904761904761905,1.0,38,4,9.5,,
2024-10-04,41,41,127.01081497560976,32.322,0.8780487804878049,1.0,40,1,40.0,,
2024-10-05,22,22,95.53371340909092,0.0,0.2727272727272727,1.0,16,6,2.6666666666666665,,
2024-10-06,53,53,0.589939716981132,0.0,0.33962264150943394,1.0,22,31,0.7096774193548387,,
2024-10-07,56,56,213.88812333928573,59.449220999999994,0.6785714285714286,1.0,10,46,0.21739130434782608,,
2024-10-08,88,88,0.0,0.0,0.0,1.0,87,1,87.0,,
2024-10-09,3,3,-73.24321966666666,-37.697891,0.0,1.0,1,2,0.5,,
2024-10-10,16,16,0.0,0.0,0.0,1.0,16,0,,,
2024-10-11,173,173,5.728984589595376,0.0,0.2947976878612717,1.0,48,125,0.384,,
2024-10-12,1596,1596,24.640206911654136,0.787791,0.5870927318295739,1.0,530,1066,0.4971857410881801,,
2024-11-01,21,21,-7.813785761904761,0.0,0.23809523809523808,1.0,13,8,1.625,,
2024-11-02,34,34,28.924799294117648,0.0,0.20588235294117646,1.0,23,11,2.090909090909091,,
2024-11-03,42,42,85.43284511904761,18.72521,0.9285714285714286,1.0,12,30,0.4,,
2024-11-04,16,16,24.35894775,0.0,0.125,1.0,14,2,7.0,,
2024-11-05,9,9,27.956082444444444,6.001646,1.0,1.0,0,9,0.0,,
2024-11-06,123,123,35.12708789430894,0.0,0.13821138211382114,1.0,114,9,12.666666666666666,,
2024-11-07,19,19,98.77958326315789,0.0,0.47368421052631576,1.0,10,9,1.1111111111111112,,
2024-11-08,24,24,35.32402583333334,0.0,0.16666666666666666,1.0,16,8,2.0,,
2024-11-09,1,1,0.0,0.0,0.0,1.0,0,1,0.0,,
2024-11-10,26,26,341.74336450000004,232.8029795,0.6923076923076923,1.0,0,26,0.0,,
2024-11-11,373,373,18.09552545844504,0.0,0.24664879356568364,1.0,94,279,0.33691756272401435,,
2024-11-12,1221,1221,261.30348420720725,2.259711,0.7125307125307125,1.0,171,1050,0.16285714285714287,,
2024-12-01,7,7,-275.0741462857143,0.0,0.0,1.0,5,2,2.5,,
2024-12-02,16,16,57.11761168749999,-26.696452,0.375,1.0,11,5,2.2,,
2024-12-03,8,8,379.89575,16.76285,0.875,1.0,1,7,0.14285714285714285,,
2024-12-04,129,129,-4.594153790697676,4.032548,0.5503875968992248,1.0,43,86,0.5,,
2024-12-05,23,23,0.0,0.0,0.0,1.0,17,6,2.8333333333333335,,
2024-12-06,254,254,-86.16744682283463,0.0,0.08267716535433071,1.0,115,139,0.8273381294964028,,
2024-12-07,19,19,74.33235021052631,0.0,0.47368421052631576,1.0,19,0,,,
2024-12-08,48,48,17.88896875,0.0,0.125,1.0,39,9,4.333333333333333,,
2024-12-10,10,10,54.155471,20.7155355,0.7,1.0,7,3,2.3333333333333335,,
2024-12-11,171,171,20.435084175438597,0.0,0.19883040935672514,1.0,98,73,1.3424657534246576,,
